meld 3.20.0-1
mesa 18.3.3-2
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mobile-broadband-provider-info 20190116-1
mongo-c-driver 1.13.1-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.10-1
mpv 1:0.29.1-5
mtdev 1.1.5-2
nano 3.2-1
ncurses 6.1-6
ndctl 64.1-1
neon 0.30.2-3
net-tools 1.60.20180212git-1
netctl 1.19-1
netease-cloud-music 1.1.3.1-1
nethogs 0.8.5-3
nettle 3.4.1-1
networkmanager 1.14.5dev+17+gba83251bb-2
networkmanager-qt 5.54.0-1
nilfs-utils 2.2.7-1
node-gyp 3.8.0-1
nodejs 11.9.0-1
noto-fonts 20190111-1
noto-fonts-emoji 20180810-2
npm 6.7.0-1
npth 1.6-1
nspr 4.20-1
nss 3.42.1-1
ntfs-3g 2017.3.23-3
numix-gtk-theme 2.6.7-1
openal 1.19.1-1
opencc 1.0.5-2
opencore-amr 0.1.5-2
opendesktop-fonts 1.4.2-5
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.a-1
openssl-1.0 1.0.2.q-1
openvpn 2.4.6-1
opera 58.0.3135.53-2
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.15-1
p7zip 16.02-5
package-query 1.9-3
pacman 5.1.2-2
pacman-mirrorlist 20190109-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.42.4-1
papirus-icon-theme 20190203-1
partclone 0.3.11-1
parted 3.2-8
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.42-2
pcre2 10.32-2
perl 5.28.1-1
perl-error 0.17027-1
perl-mailtools 2.20-2
perl-timedate 2.30-5
perl-xml-parser 2.44-7
pinentry 1.1.0-4
pixman 0.36.0-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.0-1
polkit 0.115+24+g5230646-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.74.0-1
poppler-glib 0.74.0-1
popt 1.16-10
postman-bin 6.7.3-1
procps-ng 3.3.15-1
progsreiserfs 0.3.0.5-9
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pygobject-devel 3.30.4-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.11.3-4
python 3.7.2-3
python-appdirs 1.4.3-2
python-cached-property 1.5.1-1
python-cairo 1.18.0-1
python-chardet 3.0.4-2
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-docker 3.7.0-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-3
python-docopt 0.6.2-5
python-gobject 3.30.4-1
python-idna 2.8-1
python-jsonschema 2.6.0-3
python-lxml 4.3.0-1
python-packaging 19.0-1
python-pillow 5.4.1-1
python-pyephem 3.7.6.0-3
python-pyparsing 2.3.1-1
python-pyqt5 5.11.3-4
python-requests 2.21.0-1
python-setuptools 1:40.8.0-1
python-sip-pyqt5 4.19.13-1
python-six 1.12.0-1
python-texttable 1.6.0-1
python-urllib3 1.24.1-1
python-webob 1.8.5-1
python-websocket-client 0.54.0-1
python-xdg 0.26-2
python-xlib 0.24-1
python-yaml 3.13-2
python2 2.7.15-4
python2-appdirs 1.4.3-2
python2-cachecontrol 0.12.5-4
python2-cairo 1.18.0-1
python2-chardet 3.0.4-2
python2-colorama 0.4.1-1
python2-distlib 0.2.8-1
python2-distro 1.4.0-1
python2-distutils-extra 2.39-3
python2-docopt 0.6.2-5
python2-gconf 2.28.1-11
python2-gobject2 2.28.7-2
python2-html5lib 1.0.1-3
python2-idna 2.8-1
python2-ipaddress 1.0.22-1
python2-libappindicator 12.10.0-13
python2-lockfile 0.12.2-4
python2-markdown 3.0.1-1
python2-mdv-git 1.6.3.r81.g80f333b-1
python2-msgpack 0.6.1-1
python2-packaging 19.0-1
python2-pep517 0.5.0-1
python2-pexpect 4.6.0-2
python2-pip 18.1-1
python2-progress 1.4-2
python2-ptyprocess 0.6.0-2
python2-pygments 2.3.1-1
python2-pyparsing 2.3.1-1
python2-pytoml 0.1.20-1
python2-requests 2.21.0-1
python2-retrying 1.3.3-4
python2-setuptools 1:40.8.0-1
python2-six 1.12.0-1
python2-tabulate 0.8.3-2
python2-urllib3 1.24.1-1
python2-webencodings 0.5.1-2
python2-xdg 0.26-2
qcef 1.1.4.4-1
qpdf 8.4.0-1
qt4 4.8.7-27
qt5-base 5.12.1-2
qt5-charts 5.12.1-1
qt5-declarative 5.12.1-1
qt5-graphicaleffects 5.12.1-1
qt5-location 5.12.1-1
qt5-multimedia 5.12.1-1
qt5-quickcontrols 5.12.1-1
qt5-sensors 5.12.1-1
qt5-styleplugins 5.0.0.20170311-10
qt5-svg 5.12.1-1
qt5-tools 5.12.1-1
qt5-webchannel 5.12.1-1
qt5-webkit 5.212.0alpha2-23
qt5-x11extras 5.12.1-1
qtwebkit 2.3.4-7
rapidsvn 0.12.1-12
raptor 2.0.15-10
rasqal 1:0.9.33-2
re2 20190101-1
readline 8.0.0-1
redis 5.0.3-1
redland 1:1.0.17-7
redshift 1.12-2
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rtkit 0.11+10+g493a135-1
rtmpdump 1:2.4.r96.fa8646d-4
rubberband 1.8.2-1
run-parts 4.8.6-1
runc 1.0.0rc5+168+g079817cc-1
s-nail 14.9.11-2
sbc 1.4-1
screenfetch 3.8.0-3
sdl 1.2.15-10
